LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,93.70242
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,96.05737
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,101.0152
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,99.99409
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2018,IDX,Index,0,Units,2015_100,2015=100,100.8027
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2019,IDX,Index,0,Units,2015_100,2015=100,104.5092
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2020,IDX,Index,0,Units,2015_100,2015=100,107.0176
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2021,IDX,Index,0,Units,2015_100,2015=100,109.3667
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2022,IDX,Index,0,Units,2015_100,2015=100,120.0437
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2023,IDX,Index,0,Units,2015_100,2015=100,129.4576
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1976,IDX,Index,0,Units,2015_100,2015=100,24.59837
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1977,IDX,Index,0,Units,2015_100,2015=100,26.56044
